Rundatetime,SiteAccessDate,ArticleType,ArticleName,PostDate,Editor,View,ArticleFrom,ArticleDesc,ArticleUrl,ArticleImageUrl
2023-02-22 19:40:09,2023-02-23,Case Study,Wuyishan East Station to Wuyishan Scenic Area Line,(30-NOV-2020),N/A,943,,"Wuyishan East Station to Wuyishan Scenic Area Line of Wuyi New District tourism and sightseeing rail transit is a newly-built project, in the sector of transportation, which is at the stage of implementation currently, with the Wuyi New District Management Committee of Nanping City as the implementing agency.",https://www.cpppc.org/en/zlk/999325.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202106/18082726inys.jpg
2023-02-22 19:40:11,2023-02-23,Case Study,"The ecological demonstration project of Yiluo River in Luoyang City, Henan Province",(30-NOV-2020),N/A,873,,"The ecological demonstration project of Yiluo River in Luoyang City, Henan Province is a newly built project, in the sector of water conservancy, which is at the stage of implementation currently, with the Luoyang Water Conservancy Bureau as the implementing agency.",https://www.cpppc.org/en/zlk/999302.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202011/3009350313o4.jpg
2023-02-22 19:40:12,2023-02-23,Case Study,The lighting project of the buildings and streetscape around South Lake  in Xi’an City,(30-NOV-2020),N/A,810,,"The lighting project of the buildings and streetscape around South Lake in Qujiang New District, Qujiang Avenue and South Third Ring Road in Xi’an City, Shaanxi Province is a newly built project, in the sector of the municipal engineering, which is at the stage of implementation currently, with Xi’an Qujiang New District Social Service Management Center as the implementing agency.",https://www.cpppc.org/en/zlk/999301.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202011/300931371tdp.jpg
2023-02-22 19:40:13,2023-02-23,Case Study,The Huhan East Lake Greenway Phase II Project,(30-NOV-2020),N/A,851,,"The Huhan East Lake Greenway Phase II Project is a newly-built PPP project, in the sector of municipal engineering, which is at the stage of implementation currently, with Wuhan Municipal Bureau of Gardening and Forestry as the implementing agency.",https://www.cpppc.org/en/zlk/999300.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202011/300929448vww.jpg
2023-02-22 19:40:14,2023-02-23,Case Study,The Governance and Restoration Project of Marine Ecological Corridor in the Main Island of Wenzhou City,(22-MAY-2020),N/A,804,,"The Project is a newly-built PPP project, in the sector of ecological construction and environmental protection, which is at the stage of implementation currently, with the Bureau of Construction Works as the implementing agency. ",https://www.cpppc.org/en/zlk/999251.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202005/22161430zciz.png
2023-02-22 19:40:15,2023-02-23,Case Study,Watershed Governance for the Botanical Garden Section (Nakao River) in the Upper Reaches of the Zhupai River in Nanning City,(22-MAY-2020),N/A,779,,"The project is a newly-built project, in the sector of ecological construction and environmental protection - comprehensive treatment, which is at the stage of implementation currently, with the Nanning Urban River Management Office as the implementing agency. ",https://www.cpppc.org/en/zlk/999250.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202005/22161002ekr6.png
2023-02-22 19:40:16,2023-02-23,Case Study,"The Education and Culture Park in Yongsheng County, Lijiang city of Yunnan Province",(22-MAY-2020),N/A,842,,"The project is a newly-built project in the sector of compulsory education, which is at the stage of implementation currently, with the Bureau of Culture, Sports, Radio, Film, Press, Publication and Tourism in Yongsheng County as its implementing agency. ",https://www.cpppc.org/en/zlk/999249.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202005/22160607xwql.png
2023-02-22 19:40:17,2023-02-23,Demonstration Projects,The Notice on announcement of the Fourth Batch of PPP Demonstration Projects,(06-AUG-2018),N/A,3343,,"Finance departments (bureaus) of all provinces, autonomous regions, municipalities directly under the Central Government and cities specifically designated in the state plan, and the Financial Bureau of Xinjiang Production and Construction Corps,",https://www.cpppc.org/en/xmjc/997200.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202004/29102739osag.jpg
2023-02-22 19:40:18,2023-02-23,Demonstration Projects,Fourth batch of PPP demonstration projects application launched by MOF and 19 departments,(05-SEP-2017),N/A,5004,CEINET,The Ministry of Finance and departments involved relevant industry jointly launched the fourth batch of PPP demonstration projects application on July 27,https://www.cpppc.org/en/xmjc/995677.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202004/29102839pzfn.png
2023-02-22 19:40:19,2023-02-23,Demonstration Projects,Analysis Report on the Third Batch of Demonstration Projects,(04-NOV-2016),N/A,4651,,"With the support from all sectors of society and the assistance from all ministries and commissions, the Ministry of Finance organized and completed the review and evaluation...",https://www.cpppc.org/en/xmjc/994686.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202004/29102918i5bx.png
2023-02-22 19:40:20,2023-02-23,Demonstration Projects,List of the Third Batch of PPP Demonstration Projects,(31-OCT-2016),N/A,4253,,Please see the attachment.,https://www.cpppc.org/en/xmjc/994697.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202004/2910294313mh.jpg
2023-02-22 19:40:22,2023-02-23,Demonstration Projects,List of the Second Batch of PPP Demonstration Projects of the Ministry of Finance,(25-SEP-2015),N/A,4292,,List of the Second Batch of PPP Demonstration Projects of the Ministry of Finance,https://www.cpppc.org/en/xmjc/993992.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202004/29103006fvxi.jpg
2023-02-22 19:40:26,2023-02-23,Demonstration Projects,List of the First Batch of PPP Demonstration Projects,(02-APR-2015),N/A,3503,Original,List of the First Batch of PPP Demonstration Projects,https://www.cpppc.org/en/xmjc/994002.jhtml,https://www.cpppc.org/en/opt/pmo/nfs/images/www/202004/29103026is43.jpg
